,our_id,source,RA,Dec
225,200129_225,GLADE,315.563477,15.135998999999998
226,200129_226,GLADE,315.766846,13.177325
227,200129_227,GLADE,319.442902,2.368857
228,200129_228,GLADE,311.362152,23.245275
229,200129_229,GLADE,312.158966,25.289589000000007
230,200129_230,GLADE,316.306,5.613049
231,200129_231,GLADE,317.23468,5.3949110000000005
232,200129_232,GLADE,320.693115,3.504947
233,200129_233,GLADE,319.721375,-1.305929
234,200129_234,GLADE,320.606659,1.7593880000000002
235,200129_235,GLADE,320.245819,1.792898
236,200129_236,GLADE,318.93576,1.834316
237,200129_237,GLADE,319.630341,1.839349
238,200129_238,GLADE,317.658569,1.867981
239,200129_239,GLADE,318.623352,1.873249
240,200129_240,GLADE,318.516388,1.887165
241,200129_241,GLADE,320.515411,1.902182
242,200129_242,GLADE,319.977264,1.903154
243,200129_243,GLADE,319.730133,1.957125
244,200129_244,GLADE,320.186798,1.981126
245,200129_245,GLADE,319.503113,2.088062
246,200129_246,GLADE,320.703949,2.125906
247,200129_247,GLADE,320.088135,2.1798330000000004
248,200129_248,GLADE,318.588867,2.247138
249,200129_249,GLADE,320.30307,2.321236
250,200129_250,GLADE,317.713531,2.386653
251,200129_251,GLADE,318.081787,2.514684
252,200129_252,GLADE,317.79834,2.547209
253,200129_253,GLADE,319.1409,2.701951
254,200129_254,GLADE,319.120331,2.752518
255,200129_255,GLADE,319.22348,2.764181
256,200129_256,GLADE,319.146729,2.7658400000000003
257,200129_257,GLADE,319.029663,2.793905
258,200129_258,GLADE,319.609802,2.795574
259,200129_259,GLADE,320.126709,2.821679
260,200129_260,GLADE,317.8950200000001,2.910185
261,200129_261,GLADE,319.605621,2.932241
262,200129_262,GLADE,319.397247,3.1363540000000003
263,200129_263,GLADE,319.41922,3.159689
264,200129_264,GLADE,318.34259,3.226493
265,200129_265,GLADE,319.742493,3.332355
266,200129_266,GLADE,317.560852,3.520718
267,200129_267,GLADE,319.364014,4.052281
268,200129_268,GLADE,316.9390870000001,4.5903480000000005
269,200129_269,GLADE,316.535492,4.8119830000000015
270,200129_270,GLADE,319.066864,5.2433510000000005
271,200129_271,GLADE,317.384186,5.432011
272,200129_272,GLADE,316.866577,5.910904
273,200129_273,GLADE,317.858856,6.2602660000000006
274,200129_274,GLADE,318.589752,6.597038
275,200129_275,GLADE,318.6235660000001,6.644536
276,200129_276,GLADE,317.402527,6.6573600000000015
277,200129_277,GLADE,317.028198,7.222002000000002
278,200129_278,GLADE,317.456818,7.303265
279,200129_279,GLADE,317.7750240000001,7.390036
280,200129_280,GLADE,316.301422,7.768172
281,200129_281,GLADE,315.859589,8.270579
282,200129_282,GLADE,317.711517,10.06698
283,200129_283,GLADE,315.682373,10.620836
284,200129_284,GLADE,317.61441,11.027706
285,200129_285,GLADE,316.566132,11.672533
286,200129_286,GLADE,316.827301,11.855815
287,200129_287,GLADE,317.1389470000001,11.863391
288,200129_288,GLADE,317.0414120000001,11.871844
289,200129_289,GLADE,316.100281,11.955745
290,200129_290,GLADE,315.143951,12.105259
291,200129_291,GLADE,317.709198,12.180504
292,200129_292,GLADE,317.258118,12.203063
293,200129_293,GLADE,317.695251,12.217721
294,200129_294,GLADE,317.2836910000001,12.230567
295,200129_295,GLADE,315.405457,12.544599
296,200129_296,GLADE,315.721161,12.553299
297,200129_297,GLADE,317.719269,12.666617
298,200129_298,GLADE,315.756287,13.243435
299,200129_299,GLADE,315.6829830000001,13.25941
300,200129_300,GLADE,314.828033,13.296938
301,200129_301,GLADE,315.472076,13.487401
302,200129_302,GLADE,316.766754,13.533594
303,200129_303,GLADE,315.449768,13.591006
304,200129_304,GLADE,316.908752,13.690019
305,200129_305,GLADE,315.372437,13.821523999999998
306,200129_306,GLADE,314.761292,13.89526
307,200129_307,GLADE,314.672974,13.998236
308,200129_308,GLADE,314.386353,14.105431
309,200129_309,GLADE,314.262451,14.204604000000002
310,200129_310,GLADE,315.805389,14.220939
311,200129_311,GLADE,316.651489,14.521961
312,200129_312,GLADE,315.883636,14.751301000000002
313,200129_313,GLADE,315.799347,14.925382999999998
314,200129_314,GLADE,316.416901,14.941299
315,200129_315,GLADE,314.970184,15.19504
316,200129_316,GLADE,314.3742680000001,15.297094
317,200129_317,GLADE,314.547485,15.335238
318,200129_318,GLADE,313.858154,15.514838
319,200129_319,GLADE,313.887238,16.311937
320,200129_320,GLADE,315.945648,16.404654
321,200129_321,GLADE,313.307953,16.469746
322,200129_322,GLADE,315.336182,16.486498
323,200129_323,GLADE,315.1172180000001,16.499836
324,200129_324,GLADE,313.881836,16.686657
325,200129_325,GLADE,314.043427,17.689623
326,200129_326,GLADE,313.912537,20.875177
327,200129_327,GLADE,312.628052,21.544472
328,200129_328,GLADE,313.398651,21.567656
329,200129_329,GLADE,312.116882,21.602615
330,200129_330,GLADE,311.246368,21.608234
331,200129_331,GLADE,312.07251,21.877041
332,200129_332,GLADE,312.091675,21.890106
333,200129_333,GLADE,311.9217220000001,21.965107
334,200129_334,GLADE,310.749725,22.233772
335,200129_335,GLADE,311.984253,22.27347
336,200129_336,GLADE,310.747925,22.29405
337,200129_337,GLADE,311.471863,22.421404000000006
338,200129_338,GLADE,312.251343,22.459818
339,200129_339,GLADE,311.482086,22.554459
340,200129_340,GLADE,311.536133,22.555387
341,200129_341,GLADE,311.527802,22.596125
342,200129_342,GLADE,311.752655,22.621683
343,200129_343,GLADE,311.671967,22.700541
344,200129_344,GLADE,312.1246950000001,22.735117
345,200129_345,GLADE,311.822296,22.783512
346,200129_346,GLADE,312.679169,22.943903
347,200129_347,GLADE,311.6578370000001,23.018866
348,200129_348,GLADE,311.664001,23.229147
349,200129_349,GLADE,311.397827,23.304724
350,200129_350,GLADE,310.262665,23.314646
351,200129_351,GLADE,310.60376,23.425356
352,200129_352,GLADE,312.547302,23.534576
353,200129_353,GLADE,312.176147,25.298761
354,200129_354,GLADE,312.36142,25.432812
355,200129_355,GLADE,312.154236,25.513754
356,200129_356,GLADE,312.020813,25.592306
357,200129_357,GLADE,312.3057560000001,25.737705
358,200129_358,GLADE,314.545685,17.332182
359,200129_359,GLADE,313.809418,15.547318
360,200129_360,GLADE,314.713013,13.693234
361,200129_361,GLADE,317.385712,6.29125
362,200129_362,GLADE,320.370026,3.920782
363,200129_363,GLADE,307.904968,29.185062
364,200129_364,GLADE,310.390503,24.369287
365,200129_365,GLADE,310.459534,26.470943
366,200129_366,GLADE,310.383575,27.873453
367,200129_367,GLADE,315.018127,11.941549
368,200129_368,GLADE,315.258514,10.888028
369,200129_369,GLADE,315.23056,10.614134
370,200129_370,GLADE,311.360291,22.421942
371,200129_371,GLADE,311.317596,22.466648
372,200129_372,GLADE,311.350616,22.551384
373,200129_373,GLADE,311.417755,22.016106
374,200129_374,GLADE,311.483002,22.44557
375,200129_375,GLADE,311.7289120000001,20.607231
376,200129_376,GLADE,311.830444,20.916294
377,200129_377,GLADE,311.874786,20.291023000000006
378,200129_378,GLADE,311.925018,21.972609
379,200129_379,GLADE,311.914459,22.443157
380,200129_380,GLADE,311.9320370000001,23.919001
381,200129_381,GLADE,314.034943,17.134619
382,200129_382,GLADE,314.145813,17.326178
383,200129_383,GLADE,314.199707,16.654524
384,200129_384,GLADE,314.186859,15.688132
385,200129_385,GLADE,314.130157,15.337282
386,200129_386,GLADE,314.132538,15.177561
387,200129_387,GLADE,314.388397,17.517929000000002
388,200129_388,GLADE,314.4487,17.692657
389,200129_389,GLADE,314.453583,16.962379000000002
390,200129_390,GLADE,314.5764470000001,14.076903
391,200129_391,GLADE,314.5718990000001,14.458848
392,200129_392,GLADE,314.591492,14.989679
393,200129_393,GLADE,314.568542,15.570237
394,200129_394,GLADE,315.402954,18.15999
395,200129_395,GLADE,315.913818,11.7853
396,200129_396,GLADE,316.072296,11.728462
397,200129_397,GLADE,315.995697,11.58236
398,200129_398,GLADE,316.008118,9.156804
399,200129_399,GLADE,316.20694,7.7856679999999985
400,200129_400,GLADE,316.319366,11.415592
