,our_id,RA,Dec
4280,200129_5925,309.3999757,26.01505057
4281,200129_5926,309.1844627,26.09409044
4282,200129_5927,309.82989689999994,26.05553446
4283,200129_5928,309.4791369,26.01232318
4284,200129_5929,309.9327698,26.06374978
4285,200129_5930,309.5966935,26.05972543
4286,200129_5931,309.0269558,26.06788845
4287,200129_5932,308.8157788000001,26.03681675
4288,200129_5933,309.56003339999995,26.07879415
4289,200129_5934,309.1556143,26.01144512
4290,200129_5935,308.6114495,26.08834781
4291,200129_5936,308.936273,26.03378564
4292,200129_5937,309.9735632,26.03970965
4293,200129_5938,309.22562789999995,26.03977946
4294,200129_5939,308.93386,26.03339691
4295,200129_5940,309.7365994,26.02352069
4296,200129_5941,309.833721,26.02140015
4297,200129_5942,309.838127,26.10329366
4298,200129_5943,308.96680289999995,26.00777415
4299,200129_5944,309.5620588,26.0575442
4300,200129_5945,309.3175898,26.12116135
4301,200129_5946,308.7068688,26.06861634
4302,200129_5947,309.2371124,26.00121715
4303,200129_5948,309.4011865,26.01690595
4304,200129_5949,309.1156097,26.03579431
4305,200129_5950,309.5977566,26.06223509
4306,200129_5951,309.7570527,26.07179238
4307,200129_5952,309.3684613,26.00550267
4308,200129_5953,309.9967111,26.09108258
4309,200129_5954,308.5880491000001,26.10014029
4310,200129_5955,309.838409,26.10333669
4311,200129_5956,309.4102814,26.02341247
4312,200129_5957,309.3135111,26.0424747
4313,200129_5958,309.0418551,26.12543845
4314,200129_5959,309.1377954,26.11398436
4315,200129_5960,309.7265426,26.11053291
4316,200129_5961,308.7174073000001,26.09141529
4317,200129_5962,309.8766735,26.06490592
4318,200129_5963,309.411564,26.1116104
4319,200129_5964,309.7064667,26.09554147
4320,200129_5965,309.4108763000001,26.09718162
4321,200129_5966,309.007598,26.02132362
4322,200129_5967,309.8419978,26.06214747
4323,200129_5968,309.8538897,26.08448229
4324,200129_5969,309.1146303000001,26.10026204
4325,200129_5970,309.0315403,26.12837207
4326,200129_5971,308.8068120000001,26.14838299
4327,200129_5972,309.0538014,26.02419931
4328,200129_5973,309.8223461,26.03266163
4329,200129_5974,309.5705526,26.0685795
4330,200129_5975,309.1113114,26.11459181
4331,200129_5976,309.4541597,26.03104985
4332,200129_5977,308.5477566,26.13086005
4333,200129_5978,309.7498655,26.151123
4334,200129_5979,309.5690498,26.06922746
4335,200129_5980,309.7673743000001,26.05022353
4336,200129_5981,308.6891545,26.07523526
4337,200129_5982,309.6739605,26.02886443
4338,200129_5983,308.9721268,26.06565395
4339,200129_5984,309.4082764,26.0183646
4340,200129_5985,308.6655389,26.11609496
4341,200129_5986,308.9841326,26.07418646
4342,200129_5987,308.8672501000001,26.14273043
4343,200129_5988,309.8187135,26.03027766
4344,200129_5989,308.6591164,26.05599576
4345,200129_5990,309.0443909,26.12830812
4346,200129_5991,309.6588664,26.01058231
4347,200129_5992,309.7487278,26.00846636
4348,200129_5993,308.6862213,26.02859243
4349,200129_5994,309.1587209,26.0302563
4350,200129_5995,308.6294342,26.07697592
4351,200129_5996,309.1462714,26.09019867
4352,200129_5997,309.7642658000001,26.09729376
4353,200129_5998,309.0996234,26.06872485
4354,200129_5999,309.3311075000001,26.12711455
4355,200129_6000,309.1844398,26.10381095
4356,200129_6001,308.7735407,26.0583074
4357,200129_6002,309.3118643,26.06439893
4358,200129_6003,309.8237502,26.07197775
4359,200129_6004,308.5777871,26.10544144
4360,200129_6005,309.2733100000001,26.13364676
4361,200129_6006,309.7156598,26.15608588
4362,200129_6007,308.73841,26.08476986
4363,200129_6008,309.2698404,26.00033716
4364,200129_6009,308.8099212,26.04392426
4365,200129_6010,309.5949957,26.08452146
4366,200129_6011,309.0351939,26.12528048
4367,200129_6012,309.9959138000001,26.02047708
4368,200129_6013,309.6546523,26.02606511
4369,200129_6014,309.9694166000001,26.14736022
4370,200129_6015,309.62224310000005,26.07840062
4371,200129_6016,308.6019065,26.15262124
4372,200129_6017,309.4748234,26.15007406
4373,200129_6018,309.3814353,26.08182488
4374,200129_6019,309.7790806000001,26.15977584
4375,200129_6020,309.4352696,26.16744016
4376,200129_6021,309.0342021,26.09272305
4377,200129_6022,309.61454439999994,26.14008711
4378,200129_6023,308.768059,26.1517043
4379,200129_6024,309.9711927,26.15690692
4380,200129_6025,308.9503811,26.16371265
4381,200129_6026,309.2443672,26.16412157
4382,200129_6027,308.8299527,26.13595741
4383,200129_6028,308.6967877,26.17896512
4384,200129_6029,308.601225,26.04401384
4385,200129_6030,309.8330143,26.06136038
4386,200129_6031,308.5357532,26.08311517
4387,200129_6032,309.6002892,26.10465095
4388,200129_6033,308.6870389,26.18802489
4389,200129_6034,308.8880264,26.18430453
4390,200129_6035,308.6427484,26.13233854
4391,200129_6036,308.9841843000001,26.14504389
4392,200129_6037,308.7335627,26.01293202
4393,200129_6038,309.0939335,26.11002553
4394,200129_6039,309.7393997,26.06371065
4395,200129_6040,309.0362767,26.13572795
4396,200129_6041,309.4794413,26.06352
4397,200129_6042,309.4374061000001,26.09498871
4398,200129_6043,309.4119673,26.17609971
4399,200129_6044,309.9565311,26.18375247
4400,200129_6045,309.2002254,26.01388025
4401,200129_6046,309.1926883,26.14262243
4402,200129_6047,309.1383362,26.05340674
4403,200129_6048,309.6923501,26.12553376
4404,200129_6049,309.9683448,26.19719861
4405,200129_6050,309.737084,26.00073474
4406,200129_6051,309.8458054,26.04295644
4407,200129_6052,309.4984998,26.03983796
4408,200129_6053,308.9095885,26.08688292
4409,200129_6054,308.8816606000001,26.0869047
4410,200129_6055,308.8307067,26.14148578
4411,200129_6056,309.4679679,26.14691276
4412,200129_6057,309.3966663,26.16238972
4413,200129_6058,308.9016815,26.18876528
4414,200129_6059,309.8329714,26.16377731
4415,200129_6060,308.6859251,26.18935181
4416,200129_6061,308.8341828,26.07738575
4417,200129_6062,309.1110695,26.12390017
4418,200129_6063,309.2794207,26.17412691
4419,200129_6064,309.46496139999994,26.16739125
4420,200129_6065,309.5383616000001,26.208427
4421,200129_6066,309.341437,26.2003002
4422,200129_6067,309.9010294,26.055543
4423,200129_6068,308.8451269,26.18777961
4424,200129_6069,309.6217032,26.07826267
4425,200129_6070,308.8588312,26.22015536
4426,200129_6071,308.6786830000001,26.08538786
4427,200129_6072,308.81660960000005,26.08933532
4428,200129_6073,309.2765172,26.11078203
4429,200129_6074,308.6116101,26.08863032
4430,200129_6075,309.0798430000001,26.08658803
4431,200129_6076,309.8619222,26.11740874
4432,200129_6077,309.2238,26.01501479
4433,200129_6078,309.814856,26.15492506
4434,200129_6079,309.45136119999995,26.16832186
4435,200129_6080,309.59275089999994,26.21283899
4436,200129_6081,309.8771933000001,26.18466981
4437,200129_6082,309.3115298,26.15541222
4438,200129_6083,309.304584,26.23920508
4439,200129_6084,309.8354988,26.07594753
4440,200129_6085,309.1249739,26.09365736
4441,200129_6086,309.2079871,26.13690895
4442,200129_6087,308.6704877,26.01146078
4443,200129_6088,309.8562145,26.08605151
4444,200129_6089,309.459771,26.09327963
4445,200129_6090,308.71396539999995,26.1695057
4446,200129_6091,308.8365203,26.12173575
4447,200129_6092,309.4031226,26.18846499
4448,200129_6093,308.6828936,26.19357403
4449,200129_6094,309.0471282,26.20311348
4450,200129_6095,309.2970334,26.22216174
4451,200129_6096,308.6904176000001,26.11922421
4452,200129_6097,309.3662886,26.20796372
4453,200129_6098,309.6644052,26.08898928
4454,200129_6099,308.956077,26.04540995
4455,200129_6100,308.7231825,26.06161412
4456,200129_6101,309.3931957,26.18105799
4457,200129_6102,309.4158307,26.05255701
4458,200129_6103,309.8234228,26.06368985
4459,200129_6104,309.02523239999994,26.16793414
4460,200129_6105,309.0261364,26.25967913
4461,200129_6106,309.39277180000005,26.22825977
4462,200129_6107,309.0901203,26.02271385
4463,200129_6108,309.3996369,26.18717762
4464,200129_6109,309.8123589,26.18361955
4465,200129_6110,309.0456777,26.2373408
4466,200129_6111,309.2103819,26.27262536
4467,200129_6112,309.5965606000001,26.0578884
4468,200129_6113,308.92821339999995,26.19435486
4469,200129_6114,309.0344026,26.19509929
4470,200129_6115,309.2955566,26.20960063
4471,200129_6116,309.8477143,26.06215421
4472,200129_6117,308.5695001,26.158207
4473,200129_6118,309.5965853,26.20281677
4474,200129_6119,309.2634643,26.21787683
4475,200129_6120,309.5615203000001,26.22962685
4476,200129_6121,309.1326002,26.11731925
4477,200129_6122,309.02866760000006,26.16124474
4478,200129_6123,309.9202445,26.21299395
4479,200129_6124,309.56940289999994,26.27101404
4480,200129_6125,309.4313815,26.13844274
4481,200129_6126,308.6428818,26.13067081
4482,200129_6127,308.6252246,26.12051182
4483,200129_6128,309.0778105,26.07239879
4484,200129_6129,309.2438142,26.28866132
4485,200129_6130,309.94807189999995,26.20641692
4486,200129_6131,309.1638084,26.26902557
4487,200129_6132,309.0186212,26.07614554
4488,200129_6133,309.97749760000005,26.05239678
4489,200129_6134,309.9740563000001,26.07267002
4490,200129_6135,309.4044317,26.04589083
4491,200129_6136,309.6264426,26.09422648
4492,200129_6137,309.9015876,26.19783647
4493,200129_6138,309.7334979,26.20285661
4494,200129_6139,309.8966153,26.11164137
4495,200129_6140,308.669412,26.08472609
4496,200129_6141,309.3717434,26.27203618
4497,200129_6142,309.5943429,26.01667964
4498,200129_6143,309.9986181000001,26.18547328
4499,200129_6144,309.0625387,26.24856866
4500,200129_6145,309.6484056000001,26.27277942
4501,200129_6146,309.9082139,26.26730359
4502,200129_6147,309.3084389,26.21471573
4503,200129_6148,308.977681,26.30770913
4504,200129_6149,309.556759,26.08011149
4505,200129_6150,309.1345772,26.24590723
4506,200129_6151,308.7211865000001,26.06869798
4507,200129_6152,308.9982043,26.08366423
4508,200129_6153,308.7369874,26.26661639
4509,200129_6154,308.858464,26.21990006
4510,200129_6155,309.329055,26.08107682
4511,200129_6156,309.5996393000001,26.16491081
4512,200129_6157,309.1680586,26.28830768
4513,200129_6158,309.3128674,26.31365343
4514,200129_6159,309.71081969999994,26.15859788
4515,200129_6160,309.9095215,26.30573157
4516,200129_6161,308.6324446000001,26.09912594
4517,200129_6162,308.6777732,26.30711056
4518,200129_6163,309.006262,26.03150058
4519,200129_6164,309.9936625,26.09525568
4520,200129_6165,309.1662796,26.17511762
